title,stars,text
Pantai Tanjung Gelam,5,identik dengan kelapa miring sama sunsetnya besttt banget
Pantai Tanjung Gelam,5,best place to chill because theres a lot of trees
Pantai Tanjung Gelam,2,kelapa mahal
Pantai Tanjung Gelam,5,pantai buat menikmati sunsettapi pas kesini pagi jadi ga dapat sunset deh
Pantai Tanjung Gelam,5,sunrise sunset di karimun emg gaperlu di raguin lagi tp kalo disini sunset nya cantikkkk bgttttt
Pantai Tanjung Gelam,4,very commercialized beach a lot of activities and food are available of course they all come with a price food and drinks are more expensive than in town entrance tickets are 10k toilets are mostly broken so better pee in the sea
Pantai Ujung Gelam,5,maasyaa allooh alhamdulillaah msh asri
Pantai Ujung Gelam,5,nyaman airnya jernih saat pagi tidak banyak pengunjungmenyediakan beberapa wahana selain berenang di pantai jetski banana boat rolling donuts dan kano
Pantai Ujung Gelam,5,keren pantainya ada pohon kelapa miring iconic yg biasa dipakai orang2 untuk foto sambil manjat gitu cuman kalo kesini pas rame orang mau foto di pohon kelapanya itu mesti antri tp bagus hasilnya
Pantai Ujung Gelam,5,makasimalkn perancanaan utamakan umkm setempat
Pantai Ujung Gelam,5,indah sekali
Pantai Ujung Gelam,5,une plage trs agrable avec mme des poissons en snorkelingpouf confortable avec les consommations pas chres accs en scooter parasol musique le soir trs convivial
Pantai Ujung Gelam,5,kalau mau menikmati sunset yah disini
Pantai Ujung Gelam,5,pantai nan eksotis di karimunjawa dengan batu karang pasir putih sangat landai dan ombak yang kecil spot menikmati sunset berenang permainan banana boat naik perahu berjemur atau sekedar bermain pasir cocok untuk liburan bersama teman dan keluarga
Pantai Ujung Gelam,5,spot sunset
Pantai Ujung Gelam,5,pantai wajib kalo ke karimun jawa wkwk dengan spot foto kelapa miring bekas ratusan ribu umat
Pantai Ujung Gelam,4,pantai yang cocok untuk melihat sunset jaraknya lumayan jauh dari pusat kota jalan menuju pantai sepi dan menurun jangan terlalu lama di pantai ini setelah matahari tenggelam karena jalanan akan jadi gelap sekali pasirnya putih lembut sekali pemandangan bagus dengan 2 pohon kelapa legendnya di sini sudah banyak warung yang menyediakan gorengan minuman mie dan kelapa muda
Pantai Ujung Gelam,5,pantai ujung gelam karimunjawa sangat bagus sekali cocok untuj melihat sunset matahari tenggelam jadi kalau sore sangat ramai pantai nya smbersih banyak penjual minuman dan makanan banyak pemainan seperti jetsky perhau foto dengan drone sangat bagus untuk spot foto
Pantai Ujung Gelam,5,bagus banget ya alloh pengen kesana lagi ngga zonk sama sekali
Pantai Bobby,3,i couldnt say it was the worst but it was bad you had to pay for the entry there was plastic but the part that i did like was the swings
Pantai Bobby,5,sehr ruhig und schn leider auch sehr abgelegen mit auto oder moped zu erreichen ist bei einheimischen sehr beliebt
Pantai Bobby,5,pantai yang mengagumkan bersih nyamanbanyak spot foto menarikcocok untuk acara sendiri maupun family ghateringyg mau d karimun wajib banget ke pantai bobby
Pantai Bobby,5,menikmati kopi
Pantai Bobby,5,sunrisenya cakepp anginnya juga sepoysepoy disini dan juga suasanya enak sunyiii pagipagi bengong disini sambil ngopi enak inii
Pantai Bobby,5,sunrise di pantai bobby karimunjawa keren banget pantainya bagus fasilitas jg cukup menarik
Pantai Bobby,5,salah satu pantai di karimun jawa untuk menikmati sunrise tiket masuk 10 k parkir motor 5 kpantai luas sudah dibangun spot untuk foto toilet tersedia akses jalan sudah bagus
Pantai Bobby,5,kurang beruntung karena pas datang pagi niatnya mau lihat sunrise tapi malah grimis hujanpantainya masih asri dan bersih sekali ombaknya tipis2 khas pantai utara jawapuas sekali menghabiskan waktu disini
Pantai Bobby,5,hanya dengan 10k sudah bisa menikmati view sebagus ini wah ini worth it sih bagi yg sudah open trip klo free tempat ini bisa jadi destinasi waktu senggang buat nge chill
Pantai Bobby,5,pantainya sepi adir nya halus bersih
Pantai Bobby,5,let me start by saying that pantai bobby is an absolute slice of paradise and the highlight of our karimun jawa trip the journey to get there a short and bumpy but fun ride from the main village already feels like an adventure but the moment you step onto the sand every single bump is forgotten this isnt your typical wide sprawling beach its a wonderfully intimate cove framed by lush green hills and ancient twisting trees that provide perfect natural shade the water is what dreams are made ofa breathtaking mosaic of crystalclear turquoise fading into a deeper brilliant blue its so transparent you can see small schools of fish darting around your ankles even before you wade in the sand is brilliantly white and soft a perfect contrast to the vibrant colors of the sea and sky we spent hours just floating in the calm bathwarm water feeling completely removed from the hustle of everyday life its a truly magical place that feels both pristine and peaceful
Pantai Bobby,4,view yg bagus pas sunrise
Pantai Bobby,5,pantai bobby bersih kids friendly karena lokasinya datar asyik banget lamalamaan di sini
Pantai Bobby,5,pantainya bersih terawat dan punya vibes yang apik
Pantai Bobby,5,get the best sunrise in the beach just spend your idr 10000 if no use travel eo
Pantai Bobby,4,sepi dan tenang
Pantai Bobby,4,htm 10k per orangview sunrise bagusjalan ke sini turun naik tapi sudah di paving block
Pantai Bobby,5,perjalanan ke pantai bobby penuh hutan dan cukup jauh dari daerah penduduk kalau kejar sunrise mending pake kendaraan aja
Pantai Bobby,5,gak usah naik gunung kita bisa lihat sunrise
Pantai Bobby,5,pikna plaa kokosy po 25k a do tego super najlepsze miejsce do snorklingu na karimunjawa na gwnej wyspie ktre nie wymaga wykupienia wycieczki nie widziaem wypoyczalni kajakw a szkoda bo mona by byo atwo dopyn do pobliskiej wysepki bylimy popoudniu i woda bya bardzo pytka nawet kilkadziesit metrw od play
Pantai Bobby,5,pantai andalan saat melihat sunrise
Pantai Bobby,5,sunrisenya polll mantapp
Pantai Bobby,4,pantainya bersih viewnya bagus terutama pagi hari
Pantai Bobby,5,keren view nya pantai nya bersih
Pantai Bobby,5,pantai bobby ini of course adalah salah satu pantai di karimun jawa yang bisa dibilang sebagai spot fotofoto orang yang suka ngontenin liburan mereka di sini terdapat banyak ayunanayunan yang digantung di barisan pohonpohon kelapa di pinggiran pantai bahkan ada juga ayunan yang lokasinya di airpantainya cantik bersih tapi of course ramai oleh banyak pengunjung
Pantai Bobby,5,tidak ada yang tidak bagus view yang di dapatsemua cantik tiap sudut karimunjawa
Pantai Bobby,3,gorgeous beach definitely worth visiting for the atmosphere unfortunately there are three key arguments that speak against it we were there on the weekend and when the ferry arrived a lot of people came there just to take their pictures making it impossible to relax the water is extremely shallow if you want to swim there are way better options on karimjawa additionally there arent any beachbeds if you want to lay down you need to lay in the sand which is not a big deal but you should be aware of itgreat for taking pictures but for all other aspects there are better options nearby and around the island
Pantai Bobby,5,pantai yg aga sepi tapi adeemmm pantai paling fav wkwkwk
Pantai Bobby,5,nice
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nice view and the sea was clean
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tebingnya cakep poll pemandangan bawah lautnya jelas banget dari tebing ditambah cahaya yang mantep hanya butuh tracking 5 menit
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,salah 1 pantai yg paling cntik di karimun jawaapalagi dr atas bukitnyaviewnya luar biasaga kalah sm pntai2 disekitarnyabaiknya ksini jgn pas air laut pasang krn jln mnuju ksana bisa trgenang
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,hidden gems
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,harga masuk 10kbukan tipe pantai pasir tp lebih ke tebing yang pemandangannya bagus
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kamera ku tidak mampu untuk menceritakan keindahannya masya allah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,we had a very sad feeling after the huge amount of trash and plastic in such a paradise we mentioned this to the people running the place but the answer was that the sea is going to clean the trash i would totally recommend to go to the next beach called alano and avoidthis one maybe in this way there is more consciouns about the gravity of the situation fee 10k totally not worth itvery sad
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya enak tenang santuy mata dimanjakan dengan pemandangan yang bagus banget cobain naik bukit anora trs snorkling ditepiannya banyak wisatawan asing yang seneng kesini
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai dan bukit yang bagus walaupun agak jauh dari kota karimunjawa tetapi cukup wort it untuk di kunjungi
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai anora karimunjawa pantai yg banyak spot view surga hidden gem nya karimunjawa sekitar 8km dari dermaga kapal kedatangan pake motor lebih seru krn menuju lokasi jln nya sedikit offroad ada warungmusholahtoilet tiket masuk 10k org penjualnya n tukang tiketnya ramah terkadang ada monyet hutan yg jg menikmati pantai
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,20 minutes scooter ride from main town of karimun to get these views you need to get to uphill hiking took us only about 4 minutes it was midday around 1130 so it was really hot and dry make sure you bring plenty of drinking water to stay hydrated not many shelter or shady area to hide from scorching sunseptember 2024rydv
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,indah sekali d pantai annora
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,stunning beach very clean and barely any people entry fee was 5000 rp per person
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bersihnyaman buat anak2 dan ombak juga bersahabatview pantai dan gunung yg keren
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,ottimo posto per fare una pausa pranzo rilassarsi godere di una bellissima vista e fare dello snorkeling il pesce alla griglia davvero ottimo ed abbondante al costo di 23 la conduzione dei vari chioschetti familiare e sono tutti molto gentili ingresso e parcheggio all ombra per il motorino a 05 potrete approfittare delle sedie tavoli e sdrai artigianali in legno c un piccolo promontorio che si immerge nel mare dove fare una passeggiata di 10 minuti
Pantai Batu Topeng,5,100100salah satu yang menurut saya terbaik di karimun jawa
Pantai Batu Topeng,5,une plage propre avec du snorkelling et aussi du sable blanc des poufs parasol un bar de la musique le soir le coucher de soleil
Pantai Batu Topeng,5,great beach for snorkeling and watching the sunsetthere is a local beach club with drinks food and at least this time a djeasy to reach by scooter with enough parkingthe entry fee is 10000rp but it is for more than 1 visit limit unknown bean bags and parasol includedthe water is crystal clear and it stays very shallow for a long time
Pantai Batu Topeng,5,clearly the best overall beach on the islandthe beach and waters are very clean for the entrance fee of 10000 rupieh you get a lot of different seats and hammocks it is very quite during the day most people stay one besch further west in the evening they play loud music which is something you should be aware of compared to the beaches on the eastern coast of karimunjawa the water is deeper here so it is very enjoyable to swim
Pantai Batu Topeng,5,best place to chill in evening
Pantai Batu Topeng,5,une des nombreuses belles plages facile daccs
Pantai Batu Topeng,5,gak banyak orang indo yg kesini tapi banyakan orang asingbule menurutku bagus dan nyaman soalnya aku suka tempat yg gak terlalu ramai hehe
Pantai Batu Topeng,5,the best beach at karimunjawa island
Pantai Batu Topeng,5,tenang bersih ramah makanan enak cocoksemoga kedepan bisa bayar pake aris karena uang tunai terbatas di karimunjawa enjoy
Pantai Batu Topeng,5,best best best but they did not have restroom yet hopefully soon
Pantai Batu Topeng,5,bagus sekali sunset nya
Pantai Batu Topeng,5,suasana pantai yang tenang dengan hamparan pasir putih yang menawan bisa juga untuk menikmati sunset
Pantai Batu Topeng,5,neta i poca gent perfecte per relaxarse i veure la posta de sol
Pantai Batu Topeng,5,i liked a lot this beach because it is less crowded and silent compared to sunset beach the water is clear and a bit deeper compared to the other beaches in the island which is great to swim furthermore in the biggest warung in the middle there is a lovely and sweet lady that cooks amazingsells coconut and she is always ready to help the beach is super clean and well keptthe italian family
Pantai Batu Topeng,5,5k lentre la plage est trs bien entretenue propre grande avec peu de monde quelques stands pour manger boire une coco des tables transats balanoires possibilit de faire du snorkeling parfaite pour le coucher de soleil
Pantai Batu Topeng,5,magnifiquetonn de voir si peu de monde beaucoup viennent pour le sunset mais sur le crneau 10h 16h on tait une dizaine maximum sur la plage la plus lest sur la plage principale le concours du selfie et des drones fatiguent vite donc nous navons pas regrett de nous loigner
Pantai Batu Topeng,5,one of the hidden gems in karimunjawa its so quiet here white sands turquoise clear sea water it also has warong that sells snacks and drink at a bit pricey price
Pantai Batu Topeng,5,pantai batu topeng karimunjawa sangat bagus untuk tujuan destinasi di pulau karimunjawa pantai nya bersih htm hanya 5rborang
Pantai Batu Topeng,5,bersih harganya masuknya sangat terjangkau cuman 5k tapi teduh viewnya juga bagus tambah lagi cukup sepi dan jarang di datangi turis karena letaknya yang cukup tersembunyi
Pantai Batu Topeng,5,great sunset view
Pantai Batu Topeng,5,trs joli et encore trs sauvage la petite taxe dentre de 30 centimes d est la bien venue si elle permet de maintenir la plage toute propre
Pantai Batu Topeng,5,plage propre eau claire et des transats en bamboo pour 5k lentre
Pantai Batu Topeng,1,plage payante de 5kpersonne alors que lon paye dj 150k dentre au port en tant que touriste pour le parc national je trouve cela dommage de devoir payer en plus
Pantai Batu Topeng,5,bellissima
Pantai Batu Topeng,3,spiaggia carina ma l entrata di 25k rp una storia esagerata dopo aver pagato l entrata al parco la spiaggia vicina solo 5k rp a ps pi carina e piena di servizi ristorantini e lettini con ombrelloni
Pantai Batu Topeng,5,an amazing peaceful place and the owner of the little warung will remain always in my heart
Pantai Batu Topeng,5,pantai nya sepi banget bisa d akses dengan motor datang jam 10 pagi msih sepi banget bagus ubtuk viewnya bisa jalan kaki juga ke pantai tanjung gelam
Pantai Batu Topeng,3,kalo pagisiang masii sepi gd retribusi kl sore retribusinya 25k per org
Pantai Batu Topeng,5,datang ke sini sendiri tanpa travel jalanannya cukup curam berbatu ada tulisan tiket masuk 25rborang tapi ketika datang ga ada petugas yg minta bayar pantainya bagus meskipun ga sepenuhnya bersih tapi masih cukup terawat cenderung sepi di ujung pantai ini ada jalan setapak yg menghubungkan ke sunset beach pantai ujung gelam
Pantai Batu Topeng,4,collegata direttamente a piedi alla pi nota sunset beach solo che qui non si paga il parcheggio questa spiaggia una piccola chicca di sabbia bianca silenziosa e alberata offerta barristoranti scarna spesso risultano chiusi o hanno gi terminato tutto permane anche qui la grande piaga del sudest asiatico rifiuti un po ovunque s anche in acqua non meravigliatevi se troverete spazzatura ovunque anche in acqua purtroppo vi pochissima sensibilit verso il problema in questa area del mondo resta comunque una spiaggia bellissima e molto godibile
Pantai Batu Topeng,5,lokasi sunset terbaik di karimunjawa dengan panorama yang mengagumkan lokasi yang teduh fasilitas yang yang lengkap terdapat musholla dan tempat bilas free bean bag akses yang mudah dan parkir yang cukupperfect
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,quiet and clean the people are friendly walk up the hill to get amazing water photos not the best swimming beach but great for eating and resting in the shade
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,panorama view yg bagus dibagian timur karimunjawa
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,grandissima delusione spiaggia pratic inesistente mare orrendo
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai karimunjawa antimainstream
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya bagusss dan masih bersih
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pemandangan dari bukitnya epic
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya indah pantainya bersih penduduknya ramah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,hill with nice views incredible terrible dirty beach full of trash sampah plastic di mana mana fee 10k
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora merupakan salah satu pantai di kepulauan karimunjawa yang letaknya agak tersembunyi aksesnya sedikit sulit karena melintasi jalanan pasir bergelombang sehingga perlu sedikit trekking dan sejalur dengan akses menuju pantai alano
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,una devastazione di rifiuti sparsi ovunque spiaggia non mantenuta
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,nice place to take some picture from the peak but definitely not for sunbathing
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai yang bisa dikatakan jarang dikunjungi oleh wisatawan padahal dipantai ini ada bukit yang view nya super cantik
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sunrise beach dg pasir putih pantai relatif sepi masuk agak jauh dr jalan aspal melalui jalan perkampungan yg sdh di beton sebagian jalan tanah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren abisssw
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,harus kesini buat liat indahnya laut karimun jawa naik bukit dikit sekitar 200 meter pas udh diatas lsg ilang capeknya masuknya 10rborg anak kecil ga diitung
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sebaiknnya jangan kemari saat air laut pasang jalan menuju pantai ini bersisian dengan pantai dan laut yang menggenangi jalan saat pasang menutup akses jalan dan menjadikannya gembur sehingga ban kendaraan rawan terjebak dalam pasirnamun secara umum pantai ini menarik untuk dikunjungi ayunan gazebo dan warungwarung disekitar pantai menyediakan cukup camilan untuk berlamalama di tempat inijika punya waktu agak longgar coba untuk mendaki bukit pemandangan laut lepas dan batubatu karang yang membentuk bukit menjadikan tempat ini tidak kalah fotogenik meskipun untuk mencapainya dibutuhkan perjuangan ekstra
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,hariluk lukminta
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nature
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora biasa aja tapi naik bukit deh viewnya bagus di karang2 ada gazebo juga banyak angin kalo kelamaan ya masuk angin pernah syuting pake drone di sini
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nyaman sangat cocok untuk berlibur
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai yang indah motor bisa masuk sampai tepi pantai
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,bening banget inimah beuh
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,sayangnya pantai ini kurang terawat pasirnya kuning dan terletak di sebelah barat agak ke utara dr karimun jawa hanya bisa menikmati pemandangan dr atas bukit
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,terdapat area santai dengan bangku dan ayunan lengkap dengan warung makan khas jajanan pantai menariknya annora terdapat bukit di tengahtengah laut bisa mendaki untuk melihat laut dari atas bukit dan seolah menemukan pantaipantai lain dari beberapa sisi lereng bukitnya bagi yang ingin mandi pantai disarankan oleh penduduk setempat untuk datang pada setelah pukul 3 sore karena air laut surut dan terdapat daratan baru diagaktengah laut
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,spot pertama yang dikunjungi setelah menginjakkan kaki di pulau karimunjawa pantai nya unik bersih dan tertata rapi htm 10korang fasilitas parkir motor dan mobil luas toilet bersih warung2 penjual makanan dan minuman sudah tersedia area pantainya ditata rapi dengan banyak bangku duduk dari kayu ayunan yang banyak tersebarspot unik lainnya adalah bukit love annora hill sebuah tanjung kecil dengan view lautan lepas dan tenang disini view lautnya hijau tosca dan jernih sayangnya diujung sini banyak terdapat sampah bekas pengunjung yang datang padahal sudah disediakan tempat sampah semoga kedepannya pengunjung bisa sadar akan kebersihan di pantai cantik ini
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus naik ke bukit pemandangannya juga menyejukkan mata ada mas2 pemandu juga kmrin yg nemenin naik bukit buat foto2 kalo mau beli gorengan di warung tanya harga dulu gaes 15 keping gorengan tempe dan 1 gelas chocolatos masa dihitung 50ribu
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,akses ya dari jalan utama di karimunjawa lalu masuk jalan makadam terus tanah dan pasir pantai retribusi murah banget sy agak lupa antara 510rb masuknyadi pantai tsb ada bukit naiknya gak jauh kok bukit jg gak terlalu tinggi tp pemandangan oke bgt kl dr atas bukit kata guide lokal kalau mau foto di bukit baiknya mulai dr jam12 supaya air terlihat lebih biru tp memang sepertinya kebanyakan pantai di karimunjawa garis pantainya agak naik entah krn pemanasan global atau krn memang sedang pasang tp dpt cerita jg dr ibu yg jaga warung di pantai anora akses jalan yg lbh dalam ketutup pasir karena angin dan ombak besar bbrp waktu lalupantainya agak sepi dan bersih sy kemarin blm sempat ciblon karena cuaca krg mendukungoh iya ini ada salah satu foto untk akses masuk ke pantai anora ada jalan batu jg jd perlu hati2 jg dlm berkendara
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,belle plage mais trs peu de fond donc impossible de nager
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,good
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai di seputar pulau karimunjawa yang mungkin kurang begitu populer tapi menawarkan pemandangan pantai laut biru dan bebatuan karang yang alami dan mempesonaboleh jadi mungkin karena transportasi ke sini memerlukan perjuangan yang tidak ringan menjadikan pantai ini kerap sepi dan lengangbagaimana pun juga tekad untuk sejenak terombangambing gelombang dengan perahu boat untuk sampai kesini tak membuat setiap orang mau berkungjung ke sinipadahal tentu saja perjuangan tidak mengkhiaati hasil berakitrakit ke hulu nikmati pemandangan indah pantai annora kemudian
Pantai Batu Topeng,5,tempatnya super cozyy nikmatin sunset sambil tiduran di bantal pinggir pantai suka banget karena gak terlalu ramai cuma yang bikin trauma jalan arah pantainya bebatuan dan curam mau ketawa sama nangis kalau inget hahaha see ya batu topeng
Pantai Batu Topeng,1,terlalu mengada2 tiket masuknya sampai 25k
Pantai Batu Topeng,5,good place to catch sunset at the island compare to the other beach that i visited this beach has the higher ticket fee of entrance but also has good service ex beanbag included and the beach was not to crowdedbut unfortunately lot of mosquitos came out after the sunset confirmed by the lady beach guard just because of the seasonality hopefully i could visit it again and no more mosquitos
Pantai Batu Topeng,5,mantaap
Pantai Batu Topeng,4,
Pantai Batu Topeng,5,clean and beautiful beach
Pantai Batu Topeng,5,pemandangan masih sangat alami dan lautnya sangat jernih bisa snorkling langsung dari pinggir pantai
Pantai Batu Topeng,5,wonderful indonesian
Pantai Batu Topeng,5,pantai yang enak untuk bermain air bersama anakanak ombaknya tenang apabila masuk dari beach club bayar 25000 per orang
Pantai Batu Topeng,5,beautiful well kept beach this is a private beach and at the time of writing costs 25k rupiah to enter the area which the beach sits on contains a shaded bar set about 15 metres back from the shore the shore is lined with beanbags and umbrellas get here early before 2 and you may have the beach to yourself as i did as the afternoon progresses more people show up
Pantai Batu Topeng,5,ini yg katanya pantai 24jm bisa berpesta ria bareng2 tementempatnya nyaman n banyak menu yg di tawarkan di sinigood luck
Pantai Batu Topeng,5,beautiful escape
Pantai Batu Topeng,5,tempat yg sangat indah
Pantai Batu Topeng,5,insanely beautiful beach the hanging palmtrees turquoise water super soft sand incredible and we were almost alone the entrance fee is 25k per person but you get a nice bean bag so you can relax the restaurant offers all kinds of drinks and food it was a bit expensive in my opinion
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,senang banget bisa kesinipantainya bersih bening banget buat foto cocok banget karena pemandangannya pantai dan juga bukitdari annora bisa ke pantai gosong naik kapalperahu kecil bagi yang mau renang
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus cuma aksesnya harus pakai motor agak susah kalau pakai mobil
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kenapa di google map pake bahasa thailand atau sanskerta jadi bingung apa nama pantainya
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,yes please
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,syahhduuu bangettt apalagi pas kesana sore hari dan cuaca mendukung tidak hujan asyik buat tongki tongki masih alami
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bersih tiket masuknya 10rb aku kesana bln oktober 2021 pantai nya deket dari alunalun nanti akan ada petunjuk arahnya jalannya sebagian udah bagus di coraspal namun sebagian lagi belum masih aseli pasir pantaidisana ada warung yg jual mie gorengan masih anget kelapa muda dan kacang metedisana ada ayunan adanya video to ngga bisa di upload huhuu ada tempat solat dan tempat parkirini aku fotonya diatas tebing aslinya lebih buagus naik ke tebingnya 5 menitan aku saranin pake sepatu dan baju yg nyaman ya hehe
